149.1	açaís#	açaís				149.0	Type=Derivation		{}

150.0	açor#	açor							{}
150.1	açorado#	açorado				150.0	Type=Derivation		{}
150.2	açorar#	açorar				150.0	Type=Derivation		{}

151.0	bacalhau#	bacalhau							{}
151.1	bacalhaus#	bacalhaus				151.0	Type=Derivation		{}

152.0	bacará#	bacará							{}
152.1	bacarás#	bacarás				152.0	Type=Derivation		{}

153.0	bacharelado#	bacharelado							{}
153.1	bacharelada#	bacharelada				153.0	Type=Derivation		{}

154.0	balcão#	balcão							{}
154.1	balcões#	balcões				154.0	Type=Derivation		{}

155.0	baleeiro#	baleeiro							{}
155.1	baleeiros#	baleeiros				155.0	Type=Derivation		{}

156.0	banco#	banco							{}
156.1	bancos#	bancos				156.0	Type=Derivation		{}

157.0	banheira#	banheira							{}
157.1	banheiras#	banheiras				157.0	Type=Derivation		{}

158.0	banheiro#	banheiro							{}
158.1	banheiros#	banheiros				158.0	Type=Derivation		{}

159.0	bastão#	bastão							{}
159.1	bastões#	bastões				159.0	Type=Derivation		{}

160.0	baço#	baço							{}
160.1	baços#	baços				160.0	Type=Derivation		{}

161.0	baía#	baía							{}
161.1	baías#	baías				161.0	Type=Derivation		{}

162.0	bebê#	bebê							{}
162.1	bebês#	bebês				162.0	Type=Derivation		{}

163.0	beijo#	beijo							{}
163.1	beijos#	beijos				163.0	Type=Derivation		{}

164.0	belo#	belo							{}
164.1	bela#	bela				164.0	Type=Derivation		{}

165.0	bem#	bem							{}
165.1	parabéns#	parabéns				165.0	Type=Derivation		{}
165.2	também#	também				165.0	Type=Derivation		{}

166.0	benevolente#	benevolente							{}
166.1	benevolentes#	benevolentes				166.0	Type=Derivation		{}
166.2	benevolência#	benevolência				166.0	Type=Derivation		{}

167.0	beringela#	beringela							{}
167.1	beringelas#	beringelas				167.0	Type=Derivation		{}

168.0	berinjela#	berinjela							{}
168.1	berinjelas#	berinjelas				168.0	Type=Derivation		{}

169.0	berrar#	berrar							{}
169.1	berro#	berro				169.0	Type=Derivation		{}

170.0	berço#	berço							{}
170.1	berços#	berços				170.0	Type=Derivation		{}

171.0	besouro#	besouro							{}
171.1	besouros#	besouros				171.0	Type=Derivation		{}

172.0	bexiga#	bexiga							{}
172.1	bexigas#	bexigas				172.0	Type=Derivation		{}

173.0	biberão#	biberão							{}
173.1	biberões#	biberões				173.0	Type=Derivation		{}

174.0	bicho#	bicho							{}
174.1	bicha#	bicha				174.0	Type=Derivation		{}
174.2	bichinho#	bichinho				174.0	Type=Derivation		{}
174.3	bichão#	bichão				174.0	Type=Derivation		{}

175.0	bidê#	bidê							{}
175.1	bidês#	bidês				175.0	Type=Derivation		{}

176.0	bilhão#	bilhão							{}
176.1	bilhões#	bilhões				176.0	Type=Derivation		{}

177.0	bisão#	bisão							{}
177.1	bisões#	bisões				177.0	Type=Derivation		{}

178.0	blasfémia#	blasfémia							{}
178.1	blasfémias#	blasfémias				178.0	Type=Derivation		{}

179.0	bom#	bom							{}
179.1	boa#	boa				179.0	Type=Derivation		{}
179.2	melhor#	melhor				179.0	Type=Derivation		{}

180.0	booleano#	booleano							{}
180.1	booleana#	booleana				180.0	Type=Derivation		{}
180.2	booleanas#	booleanas				180.0	Type=Derivation		{}
180.3	booleanos#	booleanos				180.0	Type=Derivation		{}

181.0	borracha#	borracha							{}
181.1	borracharia#	borracharia				181.0	Type=Derivation		{}
181.2	emborrachar#	emborrachar				181.0	Type=Derivation		{}

182.0	borrasca#	borrasca							{}
182.1	borrascas#	borrascas				182.0	Type=Derivation		{}

183.0	botânica#	botânica							{"was_in_family_with": "184.0"}
183.1	botânicas#	botânicas				183.0	Type=Derivation		{"other_parents": "184.0"}

184.0	botânico#	botânico							{"was_in_family_with": "183.0"}
184.1	botânicos#	botânicos				184.0	Type=Derivation		{}

185.0	botão#	botão							{}
185.1	botões#	botões				185.0	Type=Derivation		{}

186.0	branco#	branco							{}
186.1	branca#	branca				186.0	Type=Derivation		{}

187.0	brasileiro#	brasileiro							{}
187.1	brasileira#	brasileira				187.0	Type=Derivation		{}
187.2	brasileiras#	brasileiras				187.0	Type=Derivation		{}
187.3	brasileiros#	brasileiros				187.0	Type=Derivation		{}

188.0	brilhante#	brilhante							{}
188.1	brilhantes#	brilhantes				188.0	Type=Derivation		{}

189.0	bruno#	bruno							{}
189.1	bruna#	bruna				189.0	Type=Derivation		{}
189.2	brunas#	brunas				189.0	Type=Derivation		{}

190.0	bruxa#	bruxa							{}
190.1	bruxas#	bruxas				190.0	Type=Derivation		{}

191.0	bruxo#	bruxo							{}
191.1	bruxos#	bruxos				191.0	Type=Derivation		{}

192.0	buquê#	buquê							{}
192.1	buquês#	buquês				192.0	Type=Derivation		{}

193.0	bêbado#	bêbado							{}
193.1	bêbada#	bêbada				193.0	Type=Derivation		{}
193.2	bêbados#	bêbados				193.0	Type=Derivation		{}

194.0	bênção#	bênção							{}
194.1	bênçãos#	bênçãos				194.0	Type=Derivation		{}

195.0	bóson#	bóson							{}
195.1	bosônico#	bosônico				195.0	Type=Derivation		{}

196.0	cabelos#	cabelos							{"other_parents": "196.0"}

197.0	cabrão#	cabrão							{}
197.1	cabrões#	cabrões				197.0	Type=Derivation		{}

198.0	café#	café							{}
198.1	cafeteria#	cafeteria				198.0	Type=Derivation		{}
198.2	cafezal#	cafezal				198.0	Type=Derivation		{}

199.0	caipira#	caipira							{}
199.1	caipirinha#	caipirinha				199.0	Type=Derivation		{}

200.0	caixão#	caixão							{}
200.1	caixões#	caixões				200.0	Type=Derivation		{}

201.0	califórnio#	califórnio							{}
201.1	califórnios#	califórnios				201.0	Type=Derivation		{}

202.0	camaleão#	camaleão							{}
202.1	camaleões#	camaleões				202.0	Type=Derivation		{}

203.0	camarão#	camarão							{}
203.1	camarões#	camarões				203.0	Type=Derivation		{}

204.0	camelo#	camelo							{}
204.1	camelos#	camelos				204.0	Type=Derivation		{}

205.0	camisinha#	camisinha							{}
205.1	camisinhas#	camisinhas				205.0	Type=Derivation		{}

206.0	campeão#	campeão							{}
206.1	campeões#	campeões				206.0	Type=Derivation		{}

207.0	canal#	canal							{}
207.1	canais#	canais				207.0	Type=Derivation		{}

208.0	cancelamento#	cancelamento							{}
208.1	cancelamentos#	cancelamentos				208.0	Type=Derivation		{}

209.0	caneca#	caneca							{}
209.1	canecas#	canecas				209.0	Type=Derivation		{}

210.0	canil#	canil							{}
210.1	canis#	canis				210.0	Type=Derivation		{}

211.0	cantora#	cantora							{}
211.1	cantoras#	cantoras				211.0	Type=Derivation		{}

212.0	canção#	canção							{}
212.1	canções#	canções				212.0	Type=Derivation		{}

213.0	caos#	caos							{}
213.1	caótico#	caótico				213.0	Type=Derivation		{}
213.2	caóticos#	caóticos				213.1	Type=Derivation		{}
213.3	caótica#	caótica				213.1	Type=Derivation		{}
213.4	caóticas#	caóticas				213.1	Type=Derivation		{}

214.0	caracterização#	caracterização							{}
214.1	caracterizações#	caracterizações				214.0	Type=Derivation		{}

215.0	caralho#	caralho							{}
215.1	caralhos#	caralhos				215.0	Type=Derivation		{}

216.0	carcinógeno#	carcinógeno							{}
216.1	carcinógenos#	carcinógenos				216.0	Type=Derivation		{}

217.0	cardeal#	cardeal							{}
217.1	cardeais#	cardeais				217.0	Type=Derivation		{}

218.0	caricatura#	caricatura							{}
218.1	caricaturas#	caricaturas				218.0	Type=Derivation		{}

219.0	carnaval#	carnaval							{}
219.1	carnavais#	carnavais				219.0	Type=Derivation		{}

220.0	carneiro#	carneiro							{}
220.1	Carneiro#	Carneiro				220.0	Type=Derivation		{}

221.0	carnívoro#	carnívoro							{}
221.1	carnívora#	carnívora				221.0	Type=Derivation		{}
221.2	carnívoras#	carnívoras				221.0	Type=Derivation		{}
221.3	carnívoros#	carnívoros				221.0	Type=Derivation		{}

222.0	caroço#	caroço							{}
222.1	caroços#	caroços				222.0	Type=Derivation		{}

223.0	carro#	carro							{}
223.1	carrinho#	carrinho				223.0	Type=Derivation		{}
223.2	carros#	carros				223.0	Type=Derivation		{}

224.0	carta#	carta							{}
224.1	cartas#	cartas				224.0	Type=Derivation		{}

225.0	cartaginês#	cartaginês							{}
225.1	cartagineses#	cartagineses				225.0	Type=Derivation		{}

226.0	cartomante#	cartomante							{}
226.1	cartomantes#	cartomantes				226.0	Type=Derivation		{}

227.0	cartão#	cartão							{}
227.1	cartões#	cartões				227.0	Type=Derivation		{}

228.0	caspa#	caspa							{}
228.1	caspas#	caspas				228.0	Type=Derivation		{}

229.0	castanho#	castanho							{}
229.1	castanha#	castanha				229.0	Type=Derivation		{}

230.0	castelo#	castelo							{}
230.1	castelos#	castelos				230.0	Type=Derivation		{}

231.0	castração#	castração							{}
231.1	castrações#	castrações				231.0	Type=Derivation		{}

232.0	catamita#	catamita							{}
232.1	catamitas#	catamitas				232.0	Type=Derivation		{}

233.0	catedral#	catedral							{}
233.1	catedrais#	catedrais				233.0	Type=Derivation		{}

234.0	catita#	catita							{}
234.1	catitas#	catitas				234.0	Type=Derivation		{}

235.0	catião#	catião							{}
235.1	catiões#	catiões				235.0	Type=Derivation		{}

236.0	caucasiano#	caucasiano							{}
236.1	caucasiana#	caucasiana				236.0	Type=Derivation		{}

